Strain,Stress,Strain Rate,Temperature
0.08636,85.74007,0.01,250
0.08644,85.78195,0.01,250
0.08634,85.82307,0.01,250
0.08655,85.86442,0.01,250
0.08664,85.9084,0.01,250
0.08682,85.95474,0.01,250
0.08691,86.00339,0.01,250
0.08705,86.05375,0.01,250
0.08726,86.10526,0.01,250
0.08724,86.15624,0.01,250
0.08716,86.20738,0.01,250
0.08732,86.25675,0.01,250
0.08741,86.30584,0.01,250
0.0875,86.35316,0.01,250
0.08778,86.39906,0.01,250
0.08796,86.44382,0.01,250
0.08778,86.48777,0.01,250
0.08778,86.53148,0.01,250
0.0879,86.57534,0.01,250
0.0881,86.61994,0.01,250
0.08821,86.66453,0.01,250
0.08849,86.71017,0.01,250
0.08857,86.75491,0.01,250
0.08881,86.80009,0.01,250
0.08884,86.84465,0.01,250
0.08875,86.8898,0.01,250
0.08884,86.9334,0.01,250
0.08896,86.97815,0.01,250
0.08913,87.02004,0.01,250
0.08919,87.06323,0.01,250
0.08922,87.10436,0.01,250
0.08931,87.14724,0.01,250
0.0894,87.18849,0.01,250
0.08952,87.23221,0.01,250
0.08965,87.27397,0.01,250
0.08988,87.3185,0.01,250
0.08986,87.36094,0.01,250
0.08995,87.40562,0.01,250
0.09003,87.44765,0.01,250
0.09003,87.49136,0.01,250
0.09028,87.53193,0.01,250
0.0903,87.57416,0.01,250
0.09053,87.61378,0.01,250
0.09039,87.65528,0.01,250
0.09073,87.69639,0.01,250
0.09069,87.74077,0.01,250
0.09087,87.78525,0.01,250
0.09086,87.83332,0.01,250
0.091,87.8813,0.01,250
0.09109,87.93169,0.01,250
0.0912,87.9808,0.01,250
0.09138,88.03056,0.01,250
0.09154,88.07646,0.01,250
0.09152,88.12005,0.01,250
0.09171,88.16118,0.01,250
0.09177,88.19988,0.01,250
0.09192,88.23688,0.01,250
0.09201,88.27158,0.01,250
0.09204,88.30648,0.01,250
0.09208,88.3411,0.01,250
0.09228,88.37879,0.01,250
